Bezeichnung;Entwickler;Preis;Erscheinungsjahr;Genre;Beschreibung;Cover
Fifa 18;Electronic Arts;59.9;2017;Sport;Die FIFA 18 – Legacy Edition bietet großartiges Gameplay, tolle Spielmodi und Features mit beeindruckender Authentizität. Dabei sind die gleichen Innovationen wie bei FIFA 17 enthalten. Zudem dürfen Sie sich auf eine überarbeitete Gestaltung des Spielmenüs freuen und Sie erhalten aktualisierte Teamtrikots und Teamkader – damit Sie weiterhin auf PlayStation 3 und Xbox 360 spielen können. Erleben Sie jetzt ein packendes und unvergessliches Fußballspiel mit Ihren Superstars!;fifa18.jpg
Monster Hunter: World;Capcom;63;2018;Rollenspiel;Monster Hunter: World, der jüngste Teil der hochgelobten Action-RPG-Serie mit über 40 Millionen verkauften Einheiten, bietet ein lebendiges, atmendes Ökosystem, in dem Spieler in die Rolle von Jägern schlüpfen, die grausame Kreaturen aufspüren und in Atem beraubenden Kämpfen zur Strecke bringen. Spieler ziehen allein oder mit bis zu drei weiteren Huntern in ihre Abenteuer. Dabei kommt ein neu entworfenes Drop-In-Multiplayersystem zum Tragen, das koopperatives Spielen über Regionsgrenzen hinweg zwischen Japan und dem Westen ermöglicht, und so erstmals die weltweite Spielergemeinschaft vereint. Monster Hunter: World schickt Spieler in Questen, in denen sie Furcht einflößende Monster bekämpfen und während des Spielens ständig ihre Jägerfähigkeiten verbessern. Loot, das Spieler aus besiegten Kreaturen erhalten, können sie nutzen, um neue Ausrüstung und Rüstungsverbesserungen zu fertigen. Spieler bewegen sich nahtlos durch die Kartenareale der lebendigen Spielwelt. Landschaft und Bewohner spielen eine wichtige Rolle für die Strategien der Spieler auf ihrem Weg zum ultimativen Hunter.;monsterHunterWorld.jpg
Grand Theft Auto V;Rockstar;22.92;2013;Action;Als ein junger Straßengauner, ein ehemaliger Bankräuber und ein beängstigender Psychopath sich mit einigen der furchteinflößendsten und durchgeknalltesten Gestalten der Unterwelt, der US-Regierung und der Unterhaltungsindustrie einlassen, müssen sie eine Reihe von gefährlichen Überfällen durchziehen, um in einer skrupellosen Stadt zu überleben, in der sie niemandem vertrauen können – und am allerwenigsten einander.;grandTheftAutoV.jpg
Call of Duty: WWII;Activision;48.21;2017;Action;Call of Duty: WWII führt die Serie zu ihren Wurzeln zurück in einem kinoreifen Erlebnis, das den unvergesslichen Heldenmut der Soldaten einfängt, die gemeinsam in einem Krieg kämpften, der die Welt für immer verändert hat. Dieser packende neue Titel von Activision ist ein ehrliches Portrait des Zweiten Weltkriegs, erzählt aus der Perspektive der legendären 1. US-Infanteriedivision und mit einem Ensemble aus vielseitigen Charakteren aus aller Welt. Dank beeindruckender Grafik und intensiver Klangkulisse können die Spieler die Strände der Normandie am D-Day stürmen, durch Frankreich marschieren, um Paris zu befreien, und letztendlich in Deutschland in einer der monumentalsten Schlachten aller Zeiten eindringen.;callOfDutyWWII.jpg
Assassin's Creed Origins;Ubisoft;44.09;2017;Adventure;Das alte Ägypten, der wohl geheimnisvollste Ort der Geschichte und eine Epoche, die das Antlitz der Welt verändern sollte. Der Spieler entdeckt die Geheimnisse hinter den Pyramiden, den vergessenen Mythen, den letzten Pharaonen. Er erfährt die Ursprungsgeschichte der Assassinen-Bruderschaft, geschrieben in längst verschollenen Hieroglyphen. In den letzten vier Jahren hat das Team, das sich auch für das hochgelobte Assassin's Creed 4 Black Flag verantwortlich zeichnet, an einem Neustart der Reihe gearbeitet. Der Spieler kämpft nun auf eine völlig neue Art und Weise und kann zwischen Fernkampf- und Nahkampf-Waffen nahtlos wechseln, um es so mit mehreren Gegnern gleichzeitig aufzunehmen. Der Spieler wählt seine Assassinen-Fertigkeiten, während er das alte Ägypten erkundet und sich auf verschiedene Missionen begibt. Er erlebt packende Geschichten auf einer Reise, welche die Zivilisation verändern wird.;assassinsCreedOrigins.jpg
Fallout 4;Bethesda Game Studios;12.92;2015;Rollenspiel;Es lebe die Freiheit! Als einziger Überlebender von Vault 111 betrittst Du in Fallout 4 eine durch den Atomkrieg vernichtete Welt. Nur Du kannst das Schicksal des Ödlands bestimmen. Schließe Dich verschiedenen Fraktionen im Kampf um die Vorherrschaft an oder ziehe allein ins Abenteuer. Die brandneue Grafik- und Licht-Engine der nächsten Generation erweckt die Welt von Fallout zum Leben – realistischer als jemals zuvor.;fallout4.jpg
Dragon Ball FighterZ;Arc System Works;69;2018;Action;Nach dem Erfolg der Xenoverse Serie ist es an der Zeit ein neues und klassisches 2D Dragon Ball Fighting-Game für diese Konsolengeneration vorzustellen. DRAGON BALL FighterZ stellt den Ursprung dessen dar, so beliebt und berühmt gemacht hat: endlose, spektakuläre Schlachtem mit übermächtigen Kämpfern. In Partnerschaft mit Arc System Works bietet DRAGON BALL FighterZ maximale Highend-Animegrafik und für Fans weltweit ein Gameplay, welches leicht zu erlernen aber schwer zu meistern ist.;dragonBallFigtherZ.jpg
Playerunknown's Battlegrounds;Bluehole;29.39;2017;Ego Shooter;PlayerUnknown’s Battlegrounds (kurz: PUBG) ist der PC-Überraschungshit des Jahres und findet nun auch endlich seinen Weg auf die Xbox One. Meistere packende Online-Schlachten, plündere Vorräte, suche Waffen und gehe als einziger Überlebender aus dem Kampf hervor – allein oder im Team mit deinen Freunden.;playerunknownsBattlegrounds.jpg
Resident Evil 7 Biohazard;Capcom;19.98;2017;Adventure;Alles in einem: Die Resident Evil 7 biohazard Gold Edition bietet alle Inhalte der umjubelten Originalveröffentlichung, sowie zusätzlich alle drei herunterladbaren Zusatzinhalte: Die bereits veröffentlichten DLCs Banned Footage Vol. 1 und Banned Footage Vol. 2 gehören ebenso zum Umfang der Gold Edition wie der kommende dritte DLC End of Zoe. Die Gold Edition wird in Deutschland, Ostereich und der Schweiz am 2. Februar 2018 für PlayStation 4 (auch in PlayStation VR erlebbar), Xbox One und Windows PCs (Steam und Windows 10 Store) erhältlich sein. ;residentEvil7Biohazard.jpg
Tom Clancy's Ghost Recon Wildlands;Ubisoft;30.57;2017;Action;Bolivien, wenige Jahre nach unserer Zeit: Der wunderschöne, südamerikanische Staat hat sich zum größten Produzenten der Welt für Kokain etabliert. Das beeinflussende und boshafte Santa-Blanca-Drogenkartell hat den Staat in einen Drogenstaat verwandelt und führt diesen zur Gesetzlosigkeit, Furcht, Ungerechtigkeit und Gewalt. Von der berühmten Death Road bis hin zur weltgrößten Salzwüste können Spieler das bisher größte Open World-Action-Adventure-Spiel von Ubisoft erkunden. Spieler entdeckten riesige Regionen mit Inspirationen aus Bolivien und Südamerika und erleben atemberaubende Ausblicke sowie unglaubliche Vielfalt.;tomClancysGhostReconWildlands.jpg
